"FoodID","FoodCode","FoodDescription","FoodGroupID"
"2","2","Cheese souffle","22"
"4","4","Chop suey, with meat, canned","22"
"5","5","Chinese dish, chow mein, chicken","22"
"6","6","Corn fritter","18"
"7","7","Beef pot roast, with browned potatoes, peas and corn","22"
"8","8","Fried chicken, mashed potatoes and vegetables","22"
"9","9","Meat loaf with tomato sauce, mashed potatoes and peas","22"
"10","10","Sliced turkey with mashed potatoes and peas","22"
"13","13","Vinegar, cider","2"
"14","14","Vinegar, distilled (white)","2"
"16","16","Butter, whipped","1"
"17","17","Butter oil, anhydrous","1"
"18","18","Cheese, blue","1"
"19","19","Cheese, brick","1"
"20","20","Cheese, brie","1"
"21","21","Cheese, camembert","1"
"22","22","Cheese, caraway","1"
"23","23","Cheese, cheshire","1"
"24","24","Cheese, colby","1"
"25","25","Cheese, cottage, creamed (4.5% M.F.)","1"
"26","26","Cheese, cottage, creamed with fruit","1"
"27","27","Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","1"
"28","28","Cheese, cream","1"
"29","29","Cheese, edam","1"
"30","30","Cheese, fontina","1"
"31","31","Cheese, gjetost","1"
"32","32","Cheese, gruyere","1"
"33","33","Cheese, limburger","1"
"34","34","Cheese, monterey","1"
"35","35","Cheese, mozzarella, (48% water, 25% M.F.)","1"
"37","37","Cheese, muenster","1"
"38","38","Cheese, neufchatel","1"
"39","39","Cheese, parmesan, dry grated","1"
"40","40","Cheese, parmesan, hard","1"
"41","41","Cheese, port-salut","1"
"42","42","Cheese, provolone","1"
"43","43","Cheese, ricotta, with whole milk","1"
"44","44","Cheese, ricotta, with partly skimmed milk","1"
"45","45","Cheese, romano","1"
"46","46","Cheese, roquefort (blue)","1"
"47","47","Cheese, swiss (emmental)","1"
"48","48","Cheese, tilsit, with whole milk","1"
"51","51","Cheese, processed, cheddar, cold pack","1"
"52","52","Cheese, processed food, swiss, loaf","1"
"54","54","Cream, whipped, cream topping, pressurized","1"
"55","55","Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","1"
"56","56","Coffee whitener (non dairy), liquid","1"
"57","57","Dessert topping (non dairy), powdered","1"
"58","58","Dessert topping (non dairy), powdered, prepared with whole milk","1"
"59","59","Dessert topping (non dairy), pressurized","1"
"60","60","Dessert topping (non dairy), frozen, semisolid","1"
"61","61","Milk, fluid, partly skimmed, 2% M.F.","1"
"63","63","Milk, fluid, partly skimmed, 1% M.F.","1"
"66","66","Milk, dry whole","1"
"67","67","Milk, dry, buttermilk, sweet cream","1"
"68","68","Milk, condensed, sweetened, canned","1"
"69","69","Milk, fluid, chocolate, whole","1"
"70","70","Milk, fluid, chocolate, partly skimmed, 2% M.F.","1"
"71","71","Hot chocolate, cocoa, homemade, prepared with 2% milk","14"
"72","72","Milk, fluid, goat, enriched, whole","1"
"73","73","Milk, fluid, human (breast milk), mature","1"
"74","74","Milk, fluid, sheep, whole","1"
"75","75","Milk shake, chocolate, thick","14"
"76","76","Milk shake, vanilla, thick","14"
"77","77","Whey, acid, fluid","1"
"78","78","Whey, acid, dry","1"
"79","79","Whey, sweet, fluid","1"
"80","80","Whey, sweet, dry","1"
"83","83","Egg, chicken, dried, whole","1"
"84","84","Egg, chicken, dried, whole, stabilized","1"
"85","85","Egg, chicken, white, pan dried, flakes","1"
"86","86","Egg, chicken, white, dried, powder, glucose reduced","1"
"87","87","Egg, chicken, yolk, dried","1"
"88","88","Egg, duck, whole, fresh, raw","1"
"89","89","Egg, goose, whole, fresh, raw","1"
"90","90","Egg, quail, whole, fresh, raw","1"
"91","91","Egg, turkey, whole, fresh, raw","1"
"92","92","Butter, unsalted","1"
"93","93","Cheese, parmesan, shredded","1"
"96","96","Cheese, goat, hard, (less than 35% water, 36% M.F.)","1"
"97","97","Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)","1"
"98","98","Cheese, goat, soft, (more than 55% water, 21% M.F.)","1"
"100","100","Cheese fondue","1"
"101","101","Cheese sauce, homemade","1"
"102","102","Cheese, Mexican, queso anejo","1"
"103","103","Cheese, Mexican, queso asadero","1"
"104","104","Cheese, Mexican, queso chihuahua","1"
"105","105","Cheese, cheddar or colby type, low fat (7% M.F.)","1"
"106","106","Cheese, cheddar or colby type, low sodium","1"
"107","107","Cheese, cottage, (1% M.F.)","1"
"108","108","Cheese, feta","1"
"109","109","Cheese, gouda","1"
"110","110","Cheese, mozzarella, (52% water, 22.5% M.F.)","1"
"111","111","Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","1"
"112","112","Milk, evaporated, skim, canned, undiluted, 0.2% M.F.","1"
"113","113","Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.","1"
"114","114","Milk, fluid, skim","1"
"115","115","Milk, dry, skim, powder, instant","1"
"116","116","Hot chocolate, cocoa, homemade, prepared with whole milk","14"
"117","117","Egg substitute, frozen (yolk replaced)","1"
"118","118","Butter, regular","1"
"119","119","Cheese, cheddar","1"
"120","120","Cheese, cottage, (2% M.F.)","1"
"122","122","Coffee whitener (non dairy), powdered","1"
"123","123","Milk, fluid, whole, producer, 3.7% M.F.","1"
"124","124","Milk, fluid, buttermilk, cultured, 1% M.F.","1"
"125","125","Egg, chicken, whole, fresh or frozen, raw","1"
"126","126","Egg, chicken, white, fresh or frozen, raw","1"
"127","127","Egg, chicken, yolk, fresh or frozen, raw","1"
"129","129","Egg, chicken, whole, cooked, fried","1"
"130","130","Egg, chicken, whole, cooked, boiled in shell, hard-cooked","1"
"132","132","Egg, chicken, whole, cooked, poached","1"
"133","133","Egg, chicken, whole, cooked, scrambled or omelet","1"
"134","134","Milk, dry, skim, powder, regular","1"
"136","136","Cream, table (coffee), 18% M.F.","1"
"137","137","Cream, whipping, 32% M.F.","1"
"138","138","Cream, whipping, 35% M.F.","1"
"139","139","Cream, sour, cultured, 14% M.F","1"
"140","140","Milk, evaporated, whole, canned, undiluted, 7.8% M.F.","1"
"147","147","Cheese, cottage, uncreamed, dry, large or small curd, nonfat","1"
"150","150","Cream, cereal (half and half), 10% M.F.","1"
"151","151","Cream, table (coffee), 15% M.F.","1"
"152","152","Cream, sour, cultured, 18% M.F.","1"
"153","153","Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.","1"
"160","160","Cheese, calorie-reduced (6% M.F.)","1"
"163","163","Cream, table (coffee), 20% M.F.","1"
"164","164","Dessert, frozen yogourt","19"
"169","169","Spices, allspice, ground","2"
"170","170","Spices, anise seeds","2"
"171","171","Spices, basil, dried","2"
"172","172","Spices, bay leaf","2"
"173","173","Spices, caraway seed","2"
"174","174","Spices, cardamom, ground","2"
"175","175","Spices, celery seed","2"
"176","176","Spices, chervil, dried","2"
"177","177","Spices, chili powder","2"
"178","178","Spices, cinnamon, ground","2"
"179","179","Spices, cloves, ground","2"
"180","180","Spices, coriander leaf (cilantro), dried","2"
"181","181","Spices, coriander seed (cilantro)","2"
"182","182","Spices, cumin seed","2"
"183","183","Spices, curry powder","2"
"184","184","Spices, dill seed","2"
"185","185","Spices, dill weed, dried","2"
"186","186","Spices, fennel seed","2"
"187","187","Spices, fenugreek seed","2"
"188","188","Spices, garlic powder","2"
"189","189","Spices, ginger, ground","2"
"190","190","Spices, mace, ground","2"
"191","191","Spices, marjoram, dried","2"
"192","192","Spices, mustard seed, yellow","2"
